event_ticker,event_title,market_ticker,yes_team_subtitle,no_team_subtitle,status,result,open_time,close_time,occurrence_datetime,settlement_value_dollars,volume,open_interest
KXWCGAME-26JUL02SUIDZA,Switzerland vs Algeria: Regulation Time Moneyline,KXWCGAME-26JUL02SUIDZA-SUI,Reg Time: Switzerland,Reg Time: Switzerland,finalized,yes,2026-06-28T12:00:00Z,2026-07-03T04:59:40Z,2026-07-03T06:00:00Z,1.0,6645611.12,4449215.16
KXWCGAME-26JUL02SUIDZA,Switzerland vs Algeria: Regulation Time Moneyline,KXWCGAME-26JUL02SUIDZA-DZA,Reg Time: Algeria,Reg Time: Algeria,finalized,no,2026-06-28T12:00:00Z,2026-07-03T04:59:40Z,2026-07-03T06:00:00Z,0.0,3445616.24,2268875.94
KXWCGAME-26JUL02SUIDZA,Switzerland vs Algeria: Regulation Time Moneyline,KXWCGAME-26JUL02SUIDZA-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-28T12:00:00Z,2026-07-03T04:59:40Z,2026-07-03T06:00:00Z,0.0,2654446.94,1501841.0
KXWCGAME-26JUL02PORCRO,Portugal vs Croatia: Regulation Time Moneyline,KXWCGAME-26JUL02PORCRO-POR,Reg Time: Portugal,Reg Time: Portugal,finalized,yes,2026-06-28T02:05:00Z,2026-07-03T01:09:33Z,2026-07-03T02:00:00Z,1.0,12828738.01,4080438.61
KXWCGAME-26JUL02PORCRO,Portugal vs Croatia: Regulation Time Moneyline,KXWCGAME-26JUL02PORCRO-CRO,Reg Time: Croatia,Reg Time: Croatia,finalized,no,2026-06-28T02:05:00Z,2026-07-03T01:09:33Z,2026-07-03T02:00:00Z,0.0,8410082.51,3625154.63
KXWCGAME-26JUL02PORCRO,Portugal vs Croatia: Regulation Time Moneyline,KXWCGAME-26JUL02PORCRO-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-28T02:05:00Z,2026-07-03T01:09:33Z,2026-07-03T02:00:00Z,0.0,9819629.55,3702664.17
KXWCGAME-26JUL02ESPAUT,Spain vs Austria: Regulation Time Moneyline,KXWCGAME-26JUL02ESPAUT-ESP,Reg Time: Spain,Reg Time: Spain,finalized,yes,2026-06-28T12:00:00Z,2026-07-02T20:59:39Z,2026-07-02T22:00:00Z,1.0,7293007.4,3986078.55
KXWCGAME-26JUL02ESPAUT,Spain vs Austria: Regulation Time Moneyline,KXWCGAME-26JUL02ESPAUT-AUT,Reg Time: Austria,Reg Time: Austria,finalized,no,2026-06-28T12:00:00Z,2026-07-02T20:59:39Z,2026-07-02T22:00:00Z,0.0,5384514.35,4439764.86
KXWCGAME-26JUL02ESPAUT,Spain vs Austria: Regulation Time Moneyline,KXWCGAME-26JUL02ESPAUT-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-28T12:00:00Z,2026-07-02T20:59:39Z,2026-07-02T22:00:00Z,0.0,3795810.48,2897870.12
KXWCGAME-26JUL01USABIH,USA vs Bosnia and Herzegovina: Regulation Time Moneyline,KXWCGAME-26JUL01USABIH-USA,Reg Time: USA,Reg Time: USA,finalized,yes,2026-06-26T14:01:00Z,2026-07-02T02:09:30Z,2026-07-02T03:00:00Z,1.0,8261869.84,4398461.24
KXWCGAME-26JUL01USABIH,USA vs Bosnia and Herzegovina: Regulation Time Moneyline,KXWCGAME-26JUL01USABIH-BIH,Reg Time: Bosnia and Herzegovina,Reg Time: Bosnia and Herzegovina,finalized,no,2026-06-26T14:01:00Z,2026-07-02T02:09:30Z,2026-07-02T03:00:00Z,0.0,5074868.29,3197663.32
KXWCGAME-26JUL01USABIH,USA vs Bosnia and Herzegovina: Regulation Time Moneyline,KXWCGAME-26JUL01USABIH-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-26T14:01:00Z,2026-07-02T02:09:30Z,2026-07-02T03:00:00Z,0.0,4427513.65,2227523.17
KXWCGAME-26JUL01BELSEN,Belgium vs Senegal: Regulation Time Moneyline,KXWCGAME-26JUL01BELSEN-BEL,Reg Time: Belgium,Reg Time: Belgium,finalized,no,2026-06-28T02:05:00Z,2026-07-01T22:49:33Z,2026-07-01T23:00:00Z,0.0,11138361.79,6597025.4
KXWCGAME-26JUL01BELSEN,Belgium vs Senegal: Regulation Time Moneyline,KXWCGAME-26JUL01BELSEN-SEN,Reg Time: Senegal,Reg Time: Senegal,finalized,no,2026-06-28T02:05:00Z,2026-07-01T22:49:33Z,2026-07-01T23:00:00Z,0.0,9732653.39,3177086.78
KXWCGAME-26JUL01BELSEN,Belgium vs Senegal: Regulation Time Moneyline,KXWCGAME-26JUL01BELSEN-TIE,Reg Time: Tie,Reg Time: Tie,finalized,yes,2026-06-28T02:05:00Z,2026-07-01T22:49:33Z,2026-07-01T23:00:00Z,1.0,6096496.46,2330246.77
